iter	RMSE
0	76479.0116
1	74451.04307
2	72374.16559
3	70394.95603
4	68612.38454
5	66962.46953
6	65229.55498
7	63599.08078
8	62063.4219
9	60726.57578
10	59371.77895
11	57874.79504
12	56587.38747
13	55332.37219
14	54092.3131
15	52824.73274
16	51564.68099
17	50457.57672
18	49483.85025
19	48426.18563
20	47403.39699
21	46435.37848
22	45532.92494
23	44776.37511
24	43885.7615
25	43137.05321
26	42382.63244
27	41585.47394
28	40850.89791
29	40215.83788
30	39567.2299
31	38921.97927
32	38241.30151
33	37667.54456
34	37136.32307
35	36576.83081
36	36064.88006
37	35503.41406
38	35015.0273
39	34543.56922
40	34105.75236
41	33689.32018
42	33291.83897
43	32928.27294
44	32545.02934
45	32117.68942
46	31691.76798
47	31302.87423
48	30958.0029
49	30580.03183
50	30212.88732
51	29899.39216
52	29588.57649
53	29257.94375
54	28997.53526
55	28705.8704
56	28402.79571
57	28130.46827
58	27894.72538
59	27620.66784
60	27404.75732
61	27133.96203
62	26907.69618
63	26685.57194
64	26437.526
65	26236.53538
66	25993.16509
67	25795.83179
68	25626.76832
69	25449.87265
70	25232.12232
71	25043.0772
72	24884.31462
73	24719.64471
74	24532.43039
75	24380.08042
76	24203.9029
77	24077.60085
78	23958.22426
79	23777.11166
80	23633.30046
81	23509.01923
82	23359.26529
83	23228.83199
84	23102.80707
85	22953.50358
86	22802.16922
87	22693.80232
88	22559.40812
89	22451.03226
90	22276.37398
91	22160.76064
92	22041.0594
93	21910.71287
94	21794.02868
95	21679.73847
96	21569.66312
97	21479.16714
98	21364.30598
99	21275.35416
100	21191.95931
101	21096.41117
102	20990.07205
103	20895.65115
104	20793.19091
105	20718.53791
106	20681.62654
107	20613.5469
108	20554.89345
109	20466.48851
110	20389.45618
111	20326.05814
112	20225.57108
113	20155.78726
114	20088.97707
115	19996.17166
116	19950.04909
117	19886.7448
118	19855.79021
119	19778.42208
120	19713.89954
121	19668.33057
122	19653.57265
123	19580.40365
124	19549.95848
125	19508.07625
126	19413.33059
127	19350.29042
128	19278.31609
129	19223.94381
130	19197.85055
131	19137.40109
132	19077.3484
133	19006.8914
134	18942.13543
135	18893.26608
136	18878.03462
137	18830.92316
138	18776.39449
139	18717.84591
140	18664.22273
141	18604.9214
142	18569.99842
143	18552.46316
144	18500.95403
145	18454.79423
146	18387.40129
147	18363.01502
148	18299.3965
149	18255.07551
150	18219.85195
151	18156.87441
152	18097.29269
153	18041.72618
154	17981.01778
155	17931.17523
156	17885.06654
157	17857.08663
158	17813.33518
159	17772.95369
160	17699.17325
161	17632.77733
162	17570.26488
163	17525.6137
164	17475.25996
165	17443.86447
166	17399.67441
167	17349.65809
168	17299.47599
169	17276.90339
170	17231.9342
171	17188.83393
172	17147.17154
173	17109.71827
174	17059.39183
175	17007.3262
176	16961.31778
177	16913.93178
178	16894.01943
179	16859.95566
180	16818.26065
181	16785.7423
182	16776.34896
183	16743.11454
184	16711.61368
185	16665.08838
186	16649.68776
187	16611.26187
188	16587.75083
189	16568.09894
190	16527.32552
191	16488.6011
192	16455.68185
193	16422.51168
194	16405.60733
195	16356.5873
196	16310.02257
197	16262.90344
198	16220.66586
199	16188.48719
200	16156.86332
201	16121.52355
202	16080.23702
203	16064.44019
204	16032.24988
205	16020.6279
206	15980.00264
207	15956.71064
208	15932.20033
209	15885.3021
210	15872.25025
211	15859.11153
212	15817.11837
213	15777.73215
214	15756.58288
215	15721.50309
216	15710.02256
217	15669.03969
218	15621.87882
219	15571.41619
220	15543.6956
221	15530.83566
222	15491.84741
223	15460.57172
224	15417.66556
225	15369.87002
226	15329.995
227	15309.70409
228	15300.72842
229	15262.57897
230	15242.77493
231	15207.72766
232	15177.3776
233	15168.78079
234	15145.9304
235	15103.33193
236	15062.5665
237	15029.52813
238	14997.35725
239	14966.12445
240	14941.31361
241	14903.39585
242	14865.23944
243	14826.69607
244	14802.86243
245	14765.06844
246	14721.41367
247	14695.43825
248	14687.4379
249	14652.95331
250	14619.0341
251	14599.96183
252	14554.53042
253	14524.62518
254	14487.42098
255	14469.26627
256	14431.20282
257	14402.83661
258	14367.2693
259	14339.50782
260	14330.95469
261	14309.0789
262	14298.66415
263	14280.61474
264	14233.5009
265	14205.0834
266	14189.99694
267	14177.11137
268	14152.79567
269	14109.73371
270	14092.3719
271	14071.91868
272	14033.26411
273	13994.17975
274	13980.73303
275	13968.52155
276	13936.67319
277	13902.26025
278	13888.21002
279	13864.09729
280	13842.01273
281	13799.32448
282	13779.9691
283	13751.66124
284	13728.75468
285	13704.40871
286	13680.04501
287	13648.284
288	13618.72973
289	13589.12478
290	13560.17263
291	13547.51566
292	13535.45684
293	13513.33064
294	13506.73615
295	13490.5692
296	13464.86879
297	13447.66036
298	13425.41274
299	13384.65907
300	13357.39799
301	13328.38149
302	13307.69985
303	13284.26547
304	13276.84
305	13242.25913
306	13216.01511
307	13193.2575
308	13182.19725
309	13164.95468
310	13142.52193
311	13122.16139
312	13094.33884
313	13059.36856
314	13032.72248
315	13027.37889
316	12996.51333
317	12965.84779
318	12954.50366
319	12926.06862
320	12916.19966
321	12887.54051
322	12868.4162
323	12845.94043
324	12820.59577
325	12797.65048
326	12762.52737
327	12740.92326
328	12736.60356
329	12703.10925
330	12684.20684
331	12669.93542
332	12647.861
333	12638.94769
334	12615.00507
335	12609.99305
336	12599.65414
337	12577.08049
338	12556.42747
339	12525.37752
340	12511.03446
341	12507.00758
342	12477.91399
343	12456.19029
344	12445.21741
345	12435.31618
346	12422.26421
347	12391.22444
348	12367.69253
349	12337.26865
350	12334.03399
351	12312.62771
352	12303.41989
353	12294.16558
354	12272.45361
355	12250.43835
356	12224.91846
357	12204.24658
358	12195.19946
359	12185.13294
360	12164.86565
361	12156.20156
362	12127.95273
363	12119.39414
364	12094.21193
365	12073.20294
366	12064.85449
367	12032.66138
368	12025.37593
369	12017.40479
370	11994.23045
371	11977.26497
372	11967.68393
373	11938.60636
374	11925.19734
375	11899.95807
376	11875.37757
377	11867.67469
378	11848.32046
379	11816.53503
380	11794.49901
381	11787.12666
382	11768.30966
383	11743.55821
384	11722.76112
385	11697.47885
386	11690.29735
387	11672.14289
388	11654.34764
389	11633.12508
