iter	Passed	Remaining
0	7	7258
1	14	7177
2	20	6678
3	25	6368
4	33	6578
5	38	6421
6	45	6495
7	52	6504
8	57	6354
9	64	6410
10	71	6438
11	78	6463
12	85	6487
13	91	6438
14	98	6446
15	104	6426
16	111	6430
17	116	6358
18	121	6295
19	128	6292
20	133	6212
21	138	6143
22	146	6208
23	151	6156
24	157	6140
25	163	6127
26	167	6051
27	173	6027
28	178	5972
29	183	5925
30	187	5873
31	193	5855
32	198	5810
33	202	5767
34	210	5791
35	214	5753
36	218	5698
37	224	5687
38	229	5654
39	233	5613
40	239	5597
41	244	5577
42	249	5541
43	254	5523
44	258	5495
45	263	5467
46	268	5437
47	274	5436
48	279	5417
49	283	5392
50	289	5385
51	293	5354
52	298	5324
53	303	5319
54	307	5291
55	312	5267
56	317	5252
57	322	5236
58	327	5220
59	331	5198
60	337	5190
61	342	5180
62	347	5162
63	352	5156
64	357	5136
65	361	5118
66	366	5096
67	371	5089
68	376	5073
69	380	5058
70	386	5051
71	390	5039
72	395	5019
73	401	5018
74	405	5004
75	410	4986
76	415	4978
77	419	4962
78	424	4951
79	429	4940
80	434	4931
81	439	4921
82	444	4908
83	449	4898
84	453	4886
85	458	4870
86	462	4856
87	468	4852
88	472	4839
89	477	4824
90	491	4906
91	495	4893
92	501	4888
93	505	4870
94	510	4863
95	516	4861
96	520	4848
97	525	4832
98	530	4830
99	535	4821
100	540	4807
101	544	4795
102	550	4793
103	555	4782
104	559	4770
105	565	4766
106	570	4760
107	574	4747
108	580	4745
109	585	4734
110	589	4718
111	594	4712
112	599	4705
113	604	4701
114	609	4688
115	614	4686
116	619	4673
117	623	4660
118	629	4657
119	634	4649
120	638	4636
121	643	4631
122	645	4606
123	651	4602
124	656	4594
125	661	4590
126	666	4579
127	670	4570
128	675	4562
129	680	4553
130	685	4545
131	689	4532
132	694	4526
133	699	4518
134	703	4509
135	709	4504
136	713	4494
137	718	4485
138	722	4474
139	728	4474
140	732	4463
141	736	4451
142	742	4447
143	747	4441
144	751	4433
145	756	4425
146	761	4417
147	765	4407
148	770	4397
149	775	4396
150	780	4386
151	784	4376
152	789	4368
153	793	4358
154	797	4348
155	801	4337
156	806	4329
157	810	4319
158	814	4309
159	818	4298
160	823	4291
161	827	4282
162	832	4272
163	836	4263
164	842	4261
165	846	4252
166	850	4241
167	855	4236
168	859	4227
169	863	4217
170	868	4208
171	872	4201
172	877	4192
173	881	4183
174	885	4175
175	890	4168
176	894	4159
177	899	4152
178	904	4147
179	909	4144
180	916	4145
181	923	4148
182	928	4146
183	934	4144
184	940	4142
185	945	4139
186	951	4138
187	958	4141
188	964	4137
189	970	4136
190	975	4131
191	980	4125
192	987	4127
193	992	4121
194	996	4115
195	1003	4117
196	1008	4112
197	1014	4108
198	1020	4106
199	1025	4100
200	1029	4093
201	1035	4089
202	1039	4082
203	1044	4075
204	1050	4072
205	1056	4070
206	1061	4066
207	1066	4061
208	1070	4052
209	1074	4043
210	1078	4034
211	1083	4028
212	1087	4019
213	1092	4010
214	1097	4008
215	1103	4003
216	1107	3994
217	1111	3986
218	1116	3981
219	1120	3973
220	1125	3966
221	1130	3961
222	1136	3958
223	1140	3951
224	1146	3949
225	1151	3944
226	1156	3936
227	1160	3929
228	1165	3924
229	1169	3916
230	1174	3909
231	1179	3903
232	1183	3895
233	1188	3889
234	1193	3885
235	1199	3882
236	1203	3875
237	1216	3893
238	1220	3886
239	1224	3877
240	1230	3876
241	1235	3869
242	1239	3862
243	1246	3861
244	1251	3856
245	1256	3850
246	1262	3850
247	1267	3843
248	1272	3838
249	1279	3837
250	1284	3831
251	1289	3826
252	1295	3825
253	1300	3820
254	1305	3815
255	1311	3812
256	1316	3807
257	1322	3804
258	1329	3803
259	1335	3800
260	1341	3797
261	1346	3792
262	1352	3791
263	1358	3788
264	1364	3784
265	1369	3778
266	1374	3774
267	1379	3768
268	1384	3761
269	1390	3759
270	1395	3753
271	1399	3746
272	1404	3741
273	1410	3736
274	1414	3729
275	1419	3722
276	1425	3720
277	1429	3713
278	1434	3706
279	1439	3702
280	1445	3698
281	1450	3692
282	1455	3687
283	1461	3683
284	1465	3676
285	1471	3674
286	1477	3669
287	1482	3664
288	1488	3661
289	1493	3655
290	1498	3650
291	1503	3646
292	1508	3640
293	1513	3634
294	1518	3629
295	1523	3624
296	1528	3617
297	1532	3610
298	1538	3607
299	1544	3603
300	1548	3596
301	1555	3594
302	1559	3587
303	1567	3589
304	1573	3584
305	1577	3576
306	1581	3570
307	1587	3567
308	1592	3561
309	1596	3554
310	1602	3549
311	1606	3543
312	1611	3537
313	1617	3532
314	1622	3527
315	1626	3521
316	1632	3516
317	1655	3551
318	1675	3577
319	1703	3619
320	1712	3622
321	1718	3619
322	1735	3638
323	1740	3632
324	1745	3625
325	1750	3619
326	1756	3614
327	1760	3607
328	1766	3602
329	1771	3596
330	1775	3588
331	1781	3583
332	1785	3576
333	1789	3569
334	1795	3563
335	1799	3556
336	1804	3549
337	1808	3542
338	1813	3536
339	1818	3529
340	1822	3522
341	1827	3515
342	1832	3509
343	1836	3502
344	1840	3494
345	1845	3489
346	1850	3483
347	1855	3476
348	1861	3472
349	1867	3468
350	1872	3462
351	1879	3459
352	1884	3453
353	1889	3447
354	1909	3468
355	1913	3462
356	1918	3455
357	1923	3449
358	1928	3444
359	1933	3436
360	1941	3437
361	1946	3430
362	1951	3424
363	1955	3416
364	1961	3411
365	1965	3404
366	1969	3397
367	1975	3392
368	1980	3386
369	1984	3379
370	1990	3374
371	1995	3368
372	2000	3362
373	2004	3354
374	2009	3349
375	2014	3343
376	2018	3336
377	2024	3330
378	2029	3325
379	2033	3318
380	2038	3312
381	2043	3306
382	2048	3299
383	2052	3293
384	2058	3287
385	2063	3281
386	2067	3274
387	2072	3269
388	2077	3263
389	2082	3257
390	2088	3252
391	2093	3247
392	2099	3242
393	2104	3237
394	2110	3233
395	2116	3228
396	2123	3225
397	2129	3220
398	2135	3216
399	2142	3213
400	2148	3209
401	2156	3207
402	2162	3203
403	2170	3201
404	2176	3197
405	2182	3192
406	2188	3188
407	2193	3183
408	2199	3177
409	2206	3174
410	2211	3169
411	2217	3164
412	2223	3160
413	2228	3154
414	2235	3151
415	2241	3146
416	2246	3141
417	2253	3137
418	2259	3133
419	2265	3128
420	2272	3125
421	2278	3121
422	2286	3118
423	2291	3113
424	2296	3107
425	2303	3103
426	2308	3097
427	2314	3092
428	2319	3087
429	2324	3081
430	2330	3076
431	2335	3071
432	2340	3064
433	2344	3057
434	2351	3053
435	2357	3049
436	2361	3042
437	2366	3036
438	2371	3030
439	2376	3024
440	2382	3019
441	2386	3012
442	2390	3006
443	2395	3000
444	2400	2993
445	2404	2987
446	2409	2980
447	2414	2974
448	2418	2968
